"Дата","Месяц","Гос. облигации (ОФЗ) Первичный рынок","Корпоративные Первичный рынок","Гос. облигации (ОФЗ) Вторичный рынок","Корпоративные Вторичный рынок","Ставка","Структурный профицит/дефицит","Доли нерезидентов","Cbonds-CBI RU BBB/ruAA- YTM eff","Cbonds-CBI RU BB/ruBBB YTM eff","Cbonds-CBI RU B/ruB- YTM eff","Cbonds-CBI RU High Yield YTM eff","Cbonds-GBI RU YTM eff"
"2018","4","63861924287.05","97042075000.00","861942028239.29","327561894330.14","7.2","-3401","34.50","7.43","7.80","8.47","13.29","7.15"
"2018","5","82261243726.83","94917535000.00","499880492156.16","235664061114.25","7.2","-3608","32.30","7.37","8.00","8.55","12.59","7.24"
"2018","6","72160706747.74","51067122000.00","642872299658.33","296269256608.03","7.2","-3408","30.50","7.58","8.10","8.72","13.63","7.60"
"2018","7","141429591696.32","192051858350.00","409369736010.42","191873143137.86","7.2","-3524","28.20","7.61","8.36","9.29","14.23","7.65"
"2018","8","59545507082.44","78962447000.00","520221941313.57","195140912595.61","7.2","-3315","27.90","8.49","9.18","9.80","14.20","8.51"
"2018","9","1354670727.30","6996810500.00","602151871857.22","134055679269.87","7.2","-2759","26.60","8.52","9.24","9.90","14.19","8.36"
"2018","10","51930930897.25","60660466850.00","513012065658.36","128649009665.87","7.5","-2480","25.80","8.72","9.65","10.25","14.79","8.50"
"2018","11","49553552904.94","171969913875.00","401926710782.47","133992778130.41","7.5","-2452","25.00","8.76","9.81","10.17","14.42","8.56"
"2018","12","42408776598.22","268568221664.20","258119531861.03","151317478029.75","7.5","-2671","24.70","8.81","9.55","10.04","14.01","8.53"
"2019","1","73396475088.99","46075343152.40","405863704146.55","103082995306.83","7.8","-2578","24.40","8.65","9.36","9.95","13.77","8.10"
"2019","2","159883404058.17","131366268724.40","418025190675.97","203273010192.25","7.8","-3534","25.00","8.71","9.44","10.05","14.20","8.25"
"2019","3","256478608768.16","147893420000.00","453222317792.10","235626546132.98","7.8","-2992","25.90","8.61","9.27","9.81","14.15","8.18"
"2019","4","388409578737.93","400574646850.00","608400581482.18","237007835606.44","7.8","-2684","26.70","8.51","9.18","9.45","13.60","8.07"
"2019","5","367717193304.00","150836878418.00","613236329169.16","223278582875.05","7.8","-2530","27.80","8.34","9.15","9.42","13.44","7.83"
"2019","6","108618096566.12","173569020100.00","711253582921.17","230865629523.87","7.8","-2301","30.00","7.97","8.83","9.12","13.88","7.40"
"2019","7","86071089246.00","287788363440.00","560569788843.82","325784776903.79","7.5","-2580","30.80","7.80","8.43","8.89","13.79","7.25"
"2019","8","96306352097.20","81389716485.00","658495085627.73","242055545843.00","7.2","-3347","30.00","7.68","8.28","8.69","13.58","7.05"
"2019","9","94564379521.62","165835320495.00","528551467598.18","237752443074.85","7.0","-2882","29.70","7.39","7.92","8.34","13.46","6.96"
"2019","10","202601929929.16","374351274144.00","822310962294.10","338691218571.79","7.0","-2315","29.80","6.91","7.10","7.85","13.30","6.40"
"2019","11","103636338253.29","214571649992.00","493320325940.40","300398786381.65","6.5","-3047","32.00","6.79","7.13","7.86","13.38","6.37"
"2019","12","131474581904.56","467706073148.00","506265683185.46","442194245561.07","6.5","-2632","31.90","6.40","6.72","7.49","13.74","6.21"
"2020","1","217054161516.76","145759122341.00","505754838263.70","234067485472.26","6.2","-3613","32.20","6.33","6.62","7.31","11.26","6.09"
"2020","2","318145353671.65","203807908596.00","777289475055.53","323059961565.24","6.2","-3723","34.10","6.65","6.87","8.10","12.82","6.38"
"2020","3","951475532.75","159767766000.00","1109994842000.92","209444416396.32","6.0","-2547","34.90","7.46","8.08","9.51","16.87","6.71"
"2020","4","350823132220.76","165809998000.00","652146359493.64","176514191626.39","6.0","-1824","31.70","6.40","6.99","7.60","13.41","5.90"
